Date Time,Air Temperature,Water Level,Water Level Sigma,Wind Speed,Wind Direction,Wind Gust
2020-01-01 02:54:00,60.1,1.768,0.190,10.50,45.00,12.05
2020-01-01 03:00:00,60.1,1.736,0.190,11.27,53.00,13.61
2020-01-01 03:06:00,60.1,1.690,0.194,11.08,52.00,13.41
2020-01-01 03:12:00,60.6,1.677,0.167,11.27,57.00,13.22
2020-01-01 03:18:00,60.3,1.608,0.161,12.83,50.00,14.58
2020-01-01 03:24:00,60.4,1.568,0.210,11.27,46.00,13.02
2020-01-01 03:30:00,60.3,1.575,0.187,10.69,46.00,12.05
2020-01-01 03:36:00,60.8,1.624,0.151,10.11,45.00,12.25
2020-01-01 03:42:00,60.6,1.562,0.200,8.94,35.00,12.83
2020-01-01 03:48:00,60.8,1.627,0.177,10.50,48.00,11.86
2020-01-01 03:54:00,60.8,1.604,0.203,10.69,43.00,11.47
2020-01-01 04:00:00,60.8,1.637,0.174,10.50,46.00,11.47
2020-01-01 04:06:00,60.6,1.565,0.148,12.83,52.00,14.19
2020-01-01 04:12:00,61.0,1.558,0.177,12.83,57.00,14.38
2020-01-01 04:18:00,60.8,1.617,0.210,12.63,55.00,14.77
2020-01-01 04:24:00,60.8,1.611,0.164,12.44,51.00,15.16
2020-01-01 04:30:00,61.0,1.588,0.184,12.05,50.00,13.41
2020-01-01 04:36:00,60.8,1.591,0.210,12.63,51.00,14.00
2020-01-01 04:42:00,61.2,1.654,0.164,11.66,46.00,12.63
2020-01-01 04:48:00,61.0,1.588,0.190,12.63,49.00,14.38
2020-01-01 04:54:00,61.2,1.572,0.194,11.66,53.00,13.22
2020-01-01 05:00:00,61.2,1.526,0.187,10.50,49.00,12.83
2020-01-01 05:06:00,61.0,1.529,0.164,11.47,52.00,12.83
2020-01-01 05:12:00,61.3,1.457,0.207,10.89,56.00,12.44
2020-01-01 05:18:00,61.2,1.496,0.210,10.89,49.00,12.05
2020-01-01 05:24:00,61.3,1.457,0.194,10.69,55.00,12.25
2020-01-01 05:30:00,61.5,1.430,0.213,10.50,41.00,11.86
2020-01-01 05:36:00,61.3,1.562,0.190,11.66,53.00,12.83
2020-01-01 05:42:00,61.7,1.529,0.174,11.86,53.00,14.19
2020-01-01 05:48:00,61.5,1.506,0.161,11.86,47.00,13.80
2020-01-01 05:54:00,61.5,1.450,0.174,12.05,51.00,14.00
2020-01-01 06:00:00,61.7,1.437,0.164,12.44,48.00,13.61
2020-01-01 06:06:00,61.7,1.352,0.187,10.50,41.00,12.83
2020-01-01 06:12:00,61.5,1.375,0.174,10.50,26.00,11.86
2020-01-01 06:18:00,61.7,1.401,0.180,10.69,19.00,12.63
2020-01-01 06:24:00,61.5,1.296,0.174,10.30,21.00,12.63
2020-01-01 06:30:00,61.5,1.312,0.180,11.86,12.00,13.61
2020-01-01 06:36:00,61.3,1.296,0.194,11.66,11.00,13.22
2020-01-01 06:42:00,61.3,1.371,0.144,12.05,24.00,13.41
2020-01-01 06:48:00,61.3,1.411,0.180,13.22,23.00,14.38
2020-01-01 06:54:00,61.3,1.394,0.180,11.47,25.00,13.41
2020-01-01 07:00:00,61.2,1.358,0.174,13.80,27.00,14.97
2020-01-01 07:06:00,61.2,1.329,0.177,11.86,33.00,14.97
2020-01-01 07:12:00,61.2,1.243,0.171,13.61,29.00,14.97
2020-01-01 07:18:00,61.3,1.194,0.167,12.63,33.00,14.38
2020-01-01 07:24:00,61.2,1.250,0.161,13.02,36.00,14.58
2020-01-01 07:30:00,61.3,1.293,0.148,13.22,46.00,15.16
2020-01-01 07:36:00,61.2,1.345,0.164,13.80,50.00,15.94
2020-01-01 07:42:00,61.2,1.355,0.180,13.41,52.00,15.16
2020-01-01 07:48:00,61.5,1.227,0.177,11.86,47.00,14.19
2020-01-01 07:54:00,61.5,1.194,0.177,12.44,56.00,14.00
2020-01-01 08:00:00,61.5,1.227,0.157,13.41,57.00,14.97
2020-01-01 08:06:00,61.3,1.142,0.167,14.00,54.00,15.16
2020-01-01 08:12:00,61.7,1.207,0.157,12.83,58.00,14.58
2020-01-01 08:18:00,61.9,1.270,0.161,12.44,52.00,14.19
2020-01-01 08:24:00,61.7,1.155,0.157,13.02,45.00,14.58
2020-01-01 08:30:00,61.7,1.243,0.177,14.77,54.00,16.33
2020-01-01 08:36:00,62.1,1.142,0.171,14.58,52.00,16.33
2020-01-01 08:42:00,61.7,1.148,0.157,14.19,55.00,15.36
2020-01-01 08:48:00,62.1,1.165,0.194,13.41,51.00,14.77
2020-01-01 08:54:00,62.2,1.161,0.151,12.44,48.00,14.97
2020-01-01 09:00:00,62.1,1.214,0.164,13.02,49.00,14.58
2020-01-01 09:06:00,62.4,1.253,0.167,13.02,49.00,15.16
2020-01-01 09:12:00,62.4,1.335,0.164,11.47,41.00,13.41
2020-01-01 09:18:00,62.8,1.312,0.135,11.86,40.00,14.00
2020-01-01 09:24:00,62.6,1.378,0.184,11.08,33.00,12.83
2020-01-01 09:30:00,62.8,1.365,0.171,10.89,33.00,12.25
2020-01-01 09:36:00,63.0,1.352,0.144,9.72,29.00,11.47
2020-01-01 09:42:00,62.8,1.411,0.157,10.69,36.00,12.25
2020-01-01 09:48:00,62.8,1.407,0.177,11.27,37.00,12.63
2020-01-01 09:54:00,62.6,1.480,0.177,11.27,38.00,13.02
2020-01-01 10:00:00,62.8,1.404,0.148,12.63,41.00,13.61
2020-01-01 10:06:00,63.0,1.299,0.167,11.66,47.00,14.00
2020-01-01 10:12:00,62.8,1.250,0.171,12.05,45.00,13.41
2020-01-01 10:18:00,63.0,1.280,0.144,13.22,51.00,14.97
2020-01-01 10:24:00,63.0,1.368,0.144,12.44,51.00,14.00
2020-01-01 10:30:00,62.8,1.289,0.157,11.27,54.00,13.02
2020-01-01 10:36:00,62.8,1.316,0.154,12.25,54.00,13.41
2020-01-01 10:42:00,63.0,1.325,0.141,12.05,52.00,13.41
2020-01-01 10:48:00,63.0,1.270,0.157,13.61,52.00,14.77
2020-01-01 10:54:00,63.0,1.325,0.174,13.22,55.00,14.58
2020-01-01 11:00:00,63.1,1.293,0.151,11.47,53.00,13.61
2020-01-01 11:06:00,63.1,1.332,0.157,11.47,50.00,13.61
2020-01-01 11:12:00,63.1,1.250,0.151,11.86,51.00,13.61
2020-01-01 11:18:00,63.3,1.286,0.157,11.66,54.00,14.19
2020-01-01 11:24:00,63.7,1.175,0.167,15.75,73.00,18.47
2020-01-01 11:30:00,63.7,1.220,0.167,13.41,69.00,15.94
2020-01-01 11:36:00,63.9,1.257,0.154,11.66,68.00,15.55
2020-01-01 11:42:00,64.0,1.270,0.151,12.63,80.00,16.72
2020-01-01 11:48:00,63.9,1.286,0.180,12.25,87.00,16.13
2020-01-01 11:54:00,63.9,1.299,0.157,14.38,76.00,16.52
2020-01-01 12:00:00,63.9,1.220,0.161,12.83,80.00,17.30
2020-01-01 12:06:00,63.9,1.260,0.161,15.55,75.00,20.99
2020-01-01 12:12:00,63.9,1.302,0.167,14.77,86.00,18.27
2020-01-01 12:18:00,63.7,1.306,0.148,15.36,87.00,17.88
2020-01-01 12:24:00,63.7,1.270,0.167,18.27,82.00,20.80
2020-01-01 12:30:00,63.5,1.227,0.174,14.38,86.00,20.22
2020-01-01 12:36:00,63.3,1.158,0.194,13.41,86.00,16.52
2020-01-01 12:42:00,63.1,1.194,0.180,15.75,83.00,18.08
2020-01-01 12:48:00,62.8,1.135,0.177,14.00,82.00,17.69
2020-01-01 12:54:00,62.8,1.171,0.177,12.83,78.00,14.19
2020-01-01 13:00:00,62.8,1.204,0.174,11.86,80.00,14.77
2020-01-01 13:06:00,62.6,1.158,0.177,12.25,85.00,14.58
2020-01-01 13:12:00,62.6,1.168,0.194,11.08,79.00,13.61
2020-01-01 13:18:00,62.8,1.096,0.177,9.91,77.00,11.47
2020-01-01 13:24:00,62.8,1.010,0.194,11.27,79.00,12.25
2020-01-01 13:30:00,62.8,1.129,0.184,8.94,82.00,12.25
2020-01-01 13:36:00,63.0,1.083,0.180,8.55,89.00,9.91
2020-01-01 13:42:00,63.0,1.093,0.167,9.72,90.00,10.69
2020-01-01 13:48:00,63.0,1.037,0.167,7.39,86.00,9.91
2020-01-01 13:54:00,62.6,1.024,0.180,7.39,75.00,8.16
2020-01-01 14:00:00,62.6,1.056,0.174,8.94,79.00,10.50
2020-01-01 14:06:00,62.4,1.024,0.180,9.52,77.00,10.89
2020-01-01 14:12:00,62.6,1.017,0.184,9.14,68.00,9.91
2020-01-01 14:18:00,62.4,1.001,0.164,10.11,78.00,11.66
2020-01-01 14:24:00,62.4,1.089,0.171,9.72,76.00,10.89
2020-01-01 14:30:00,62.6,1.001,0.180,9.72,78.00,11.27
2020-01-01 14:36:00,62.6,1.010,0.180,9.72,75.00,11.08
2020-01-01 14:42:00,62.4,0.981,0.203,9.72,72.00,10.89
2020-01-01 14:48:00,62.6,1.050,0.226,7.97,73.00,10.30
2020-01-01 14:54:00,62.6,1.050,0.203,8.75,72.00,9.72
2020-01-01 15:00:00,62.8,1.070,0.197,8.75,79.00,9.72
2020-01-01 15:06:00,62.8,0.955,0.194,11.08,83.00,12.05
2020-01-01 15:12:00,63.0,0.961,0.200,10.69,85.00,12.05
2020-01-01 15:18:00,63.1,0.935,0.223,7.97,84.00,10.30
2020-01-01 15:24:00,63.3,0.991,0.194,8.75,89.00,9.91
2020-01-01 15:30:00,63.3,0.965,0.197,7.39,88.00,9.52
2020-01-01 15:36:00,63.3,0.873,0.213,7.78,92.00,8.75
2020-01-01 15:42:00,63.3,0.974,0.217,8.16,82.00,8.94
2020-01-01 15:48:00,63.3,0.935,0.210,7.97,76.00,9.14
2020-01-01 15:54:00,63.5,1.010,0.233,7.00,70.00,7.97
2020-01-01 16:00:00,63.5,0.978,0.223,5.83,52.00,6.80
2020-01-01 16:06:00,63.5,0.948,0.226,4.67,39.00,6.03
2020-01-01 16:12:00,63.5,0.965,0.197,4.28,28.00,4.67
2020-01-01 16:18:00,63.5,1.007,0.207,4.67,35.00,5.44
2020-01-01 16:24:00,63.7,1.024,0.256,4.86,49.00,5.44
2020-01-01 16:30:00,63.5,0.932,0.220,3.11,19.00,4.67
2020-01-01 16:36:00,63.1,0.846,0.233,5.05,342.00,5.25
2020-01-01 16:42:00,63.7,0.863,0.269,5.05,348.00,5.44
2020-01-01 16:48:00,63.9,0.850,0.233,4.86,358.00,5.64
2020-01-01 16:54:00,63.9,0.794,0.269,4.28,4.00,4.67
2020-01-01 17:00:00,64.0,0.820,0.253,3.69,353.00,4.08
2020-01-01 17:06:00,63.5,0.915,0.259,4.28,349.00,4.86
2020-01-01 17:12:00,63.3,0.761,0.262,2.53,321.00,4.28
2020-01-01 17:18:00,63.3,0.810,0.256,3.89,316.00,4.28
2020-01-01 17:24:00,63.3,0.755,0.236,5.25,332.00,5.44
2020-01-01 17:30:00,63.1,0.741,0.230,4.86,325.00,6.03
2020-01-01 17:36:00,63.3,0.837,0.262,2.33,307.00,4.86
2020-01-01 17:42:00,63.5,0.728,0.233,2.14,339.00,2.53
2020-01-01 17:48:00,63.5,0.722,0.308,3.89,16.00,4.28
2020-01-01 17:54:00,63.7,0.663,0.282,1.17,49.00,4.47
2020-01-01 18:00:00,63.9,0.574,0.279,0.39,168.00,7.78
2020-01-01 18:06:00,65.1,0.495,0.289,0.19,44.00,1.36
2020-01-01 18:12:00,65.1,0.479,0.302,2.14,104.00,2.72
2020-01-01 18:18:00,64.6,0.525,0.276,4.08,102.00,4.47
2020-01-01 18:24:00,65.1,0.676,0.249,1.56,162.00,4.47
2020-01-01 18:30:00,65.1,0.679,0.282,1.36,182.00,1.75
2020-01-01 18:36:00,65.5,0.689,0.259,1.17,214.00,1.94
2020-01-01 18:42:00,65.3,0.587,0.276,1.17,213.00,1.36
2020-01-01 18:48:00,65.1,0.594,0.269,5.83,116.00,6.61
2020-01-01 18:54:00,65.3,0.682,0.279,2.72,146.00,6.80
2020-01-01 19:00:00,65.3,0.653,0.315,4.28,262.00,5.44
2020-01-01 19:06:00,66.0,0.686,0.315,2.92,217.00,4.28
2020-01-01 19:12:00,65.1,0.712,0.338,4.28,288.00,4.67
2020-01-01 19:18:00,65.3,0.778,0.285,3.30,309.00,4.28
2020-01-01 19:24:00,64.4,0.787,0.246,5.64,289.00,7.39
2020-01-01 19:30:00,63.3,0.682,0.292,7.97,300.00,10.11
2020-01-01 19:36:00,62.1,0.755,0.295,8.55,307.00,9.91
2020-01-01 19:42:00,62.2,0.709,0.305,6.61,318.00,9.52
2020-01-01 19:48:00,62.4,0.679,0.289,4.08,334.00,7.39
2020-01-01 19:54:00,62.2,0.797,0.312,4.67,333.00,5.44
2020-01-01 20:00:00,62.4,0.784,0.305,4.86,322.00,5.83
2020-01-01 20:06:00,62.6,0.850,0.367,4.47,324.00,5.25
2020-01-01 20:12:00,62.4,0.863,0.322,4.67,316.00,6.22
2020-01-01 20:18:00,62.6,0.876,0.233,4.67,321.00,6.41
2020-01-01 20:24:00,62.4,0.978,0.305,4.28,317.00,5.83
2020-01-01 20:30:00,62.6,1.119,0.295,3.50,341.00,4.47
2020-01-01 20:36:00,62.6,0.971,0.322,2.92,326.00,4.28
2020-01-01 20:42:00,62.6,0.948,0.282,3.69,303.00,4.28
2020-01-01 20:48:00,63.0,1.089,0.312,3.89,275.00,4.86
2020-01-01 20:54:00,63.0,1.106,0.285,3.69,269.00,5.25
2020-01-01 21:00:00,62.1,1.083,0.315,5.83,266.00,6.80
2020-01-01 21:06:00,61.5,0.994,0.308,6.41,280.00,8.16
2020-01-01 21:12:00,61.7,0.988,0.322,4.67,276.00,7.19
2020-01-01 21:18:00,61.7,1.043,0.308,5.05,280.00,6.22
2020-01-01 21:24:00,61.9,1.194,0.295,2.72,283.00,5.25
2020-01-01 21:30:00,62.1,1.178,0.289,0.97,298.00,2.14
2020-01-01 21:36:00,61.9,0.951,0.328,3.89,254.00,4.28
2020-01-01 21:42:00,61.9,1.060,0.338,4.67,271.00,6.61
2020-01-01 21:48:00,61.9,1.040,0.338,3.89,299.00,4.47
2020-01-01 21:54:00,61.9,1.066,0.276,4.67,275.00,5.83
2020-01-01 22:00:00,61.7,0.955,0.299,4.67,268.00,5.64
2020-01-01 22:06:00,61.7,1.106,0.338,4.28,263.00,5.83
2020-01-01 22:12:00,61.7,1.191,0.318,3.89,271.00,6.03
2020-01-01 22:18:00,61.5,1.302,0.358,5.64,294.00,6.22
2020-01-01 22:24:00,61.5,1.342,0.312,5.44,293.00,7.00
2020-01-01 22:30:00,61.7,1.198,0.322,5.25,279.00,7.19
2020-01-01 22:36:00,61.9,1.283,0.302,7.19,250.00,9.33
2020-01-01 22:42:00,61.7,1.247,0.276,6.80,283.00,9.52
2020-01-01 22:48:00,61.7,1.293,0.285,6.61,274.00,8.75
2020-01-01 22:54:00,61.7,1.201,0.292,7.19,282.00,8.75
2020-01-01 23:00:00,61.9,1.115,0.285,5.64,306.00,7.58
2020-01-01 23:06:00,61.9,1.325,0.338,4.47,313.00,7.39
2020-01-01 23:12:00,61.7,1.358,0.351,3.30,300.00,5.44
2020-01-01 23:18:00,61.7,1.486,0.318,4.08,257.00,5.05
2020-01-01 23:24:00,61.7,1.378,0.354,6.41,290.00,8.16
2020-01-01 23:30:00,61.5,1.404,0.338,6.41,290.00,8.55
2020-01-01 23:36:00,61.5,1.411,0.315,6.22,300.00,8.55
2020-01-01 23:42:00,61.5,1.467,0.361,4.67,280.00,7.00
2020-01-01 23:48:00,61.5,1.388,0.312,3.11,286.00,5.83
2020-01-01 23:54:00,61.5,1.644,0.279,2.14,279.00,5.05
2020-01-02 00:00:00,61.3,1.565,0.361,0.58,272.00,3.89
2020-01-02 00:06:00,61.2,1.732,0.269,2.33,286.00,3.11
2020-01-02 00:12:00,61.2,1.690,0.331,0.97,210.00,2.72
2020-01-02 00:18:00,61.0,1.621,0.292,1.56,204.00,1.75
2020-01-02 00:24:00,60.6,1.594,0.295,3.30,225.00,4.08
2020-01-02 00:30:00,60.4,1.552,0.262,2.92,270.00,3.89
2020-01-02 00:36:00,60.4,1.627,0.236,2.53,317.00,3.30
2020-01-02 00:42:00,60.6,1.522,0.259,3.69,326.00,4.08
2020-01-02 00:48:00,60.6,1.486,0.335,3.11,201.00,4.67
2020-01-02 00:54:00,59.9,1.558,0.259,9.72,198.00,11.66
2020-01-02 01:00:00,59.5,1.785,0.253,4.47,193.00,8.16
2020-01-02 01:06:00,59.4,1.804,0.338,4.86,189.00,5.05
2020-01-02 01:12:00,59.5,1.739,0.318,1.94,171.00,4.86
2020-01-02 01:18:00,59.5,1.798,0.348,0.00,204.00,1.56
2020-01-02 01:24:00,59.5,1.795,0.325,2.33,203.00,2.72
2020-01-02 01:30:00,59.5,1.890,0.292,1.36,198.00,1.94
2020-01-02 01:36:00,59.5,1.886,0.226,1.56,168.00,2.14
2020-01-02 01:42:00,59.5,1.913,0.295,1.56,197.00,2.14
2020-01-02 01:48:00,59.7,1.900,0.226,1.17,125.00,1.94
2020-01-02 01:54:00,59.7,1.929,0.279,4.08,230.00,6.22
2020-01-02 02:00:00,59.4,1.975,0.279,5.64,248.00,8.55
2020-01-02 02:06:00,59.0,1.854,0.259,6.22,245.00,8.55
2020-01-02 02:12:00,58.8,1.732,0.276,4.08,240.00,7.58
2020-01-02 02:18:00,58.8,1.781,0.364,3.69,234.00,5.25
2020-01-02 02:24:00,58.8,1.837,0.233,4.08,232.00,5.25
2020-01-02 02:30:00,58.8,1.909,0.292,3.11,240.00,4.28
2020-01-02 02:36:00,59.0,1.929,0.312,3.69,230.00,4.47
2020-01-02 02:42:00,59.2,1.847,0.322,6.03,245.00,6.80
2020-01-02 02:48:00,58.5,1.736,0.223,11.08,247.00,12.83
2020-01-02 02:54:00,58.1,1.857,0.262,9.33,250.00,12.05
2020-01-02 03:00:00,57.7,1.955,0.338,8.94,243.00,13.61
2020-01-02 03:06:00,57.7,2.034,0.292,10.50,247.00,11.86
2020-01-02 03:12:00,57.9,2.008,0.308,9.14,247.00,11.47
2020-01-02 03:18:00,57.9,2.014,0.289,8.36,247.00,10.30
2020-01-02 03:24:00,57.9,1.985,0.285,8.94,232.00,11.47
2020-01-02 03:30:00,57.9,1.995,0.285,7.19,244.00,10.50
2020-01-02 03:36:00,57.9,2.044,0.282,5.25,244.00,8.75
2020-01-02 03:42:00,57.7,2.054,0.253,7.39,254.00,8.94
2020-01-02 03:48:00,57.7,1.985,0.325,7.39,260.00,9.14
2020-01-02 03:54:00,57.7,1.903,0.240,8.16,249.00,9.52
2020-01-02 04:00:00,57.7,1.916,0.322,7.39,243.00,8.94
2020-01-02 04:06:00,57.7,1.975,0.272,7.19,252.00,8.75
2020-01-02 04:12:00,57.7,1.919,0.240,7.97,261.00,9.91
2020-01-02 04:18:00,57.7,1.965,0.338,5.25,259.00,8.16
2020-01-02 04:24:00,57.7,1.870,0.217,7.19,240.00,8.75
2020-01-02 04:30:00,57.7,1.975,0.253,5.83,250.00,7.39
2020-01-02 04:36:00,57.7,1.883,0.259,5.83,257.00,7.58
2020-01-02 04:42:00,57.6,1.939,0.256,7.78,248.00,9.72
2020-01-02 04:48:00,57.6,1.923,0.243,5.05,254.00,8.16
2020-01-02 04:54:00,57.6,1.929,0.305,4.67,235.00,7.58
2020-01-02 05:00:00,57.6,1.949,0.253,3.11,227.00,6.22
2020-01-02 05:06:00,57.6,1.959,0.253,3.30,233.00,5.25
2020-01-02 05:12:00,57.6,1.801,0.269,3.89,219.00,4.47
2020-01-02 05:18:00,57.6,1.791,0.240,3.50,236.00,4.28
2020-01-02 05:24:00,57.6,1.768,0.302,3.50,241.00,4.86
2020-01-02 05:30:00,57.6,1.765,0.259,3.11,247.00,4.86
2020-01-02 05:36:00,57.6,1.873,0.272,2.72,231.00,3.89
2020-01-02 05:42:00,57.7,1.781,0.213,2.72,232.00,3.89
2020-01-02 05:48:00,57.6,1.788,0.282,3.11,228.00,4.08
2020-01-02 05:54:00,57.6,1.906,0.243,2.92,246.00,4.08
2020-01-02 06:00:00,57.6,1.886,0.322,2.72,238.00,3.89
2020-01-02 06:06:00,57.6,1.827,0.246,2.53,232.00,3.69
2020-01-02 06:12:00,57.6,1.880,0.259,3.11,214.00,4.08
2020-01-02 06:18:00,57.6,1.768,0.246,3.30,192.00,4.08
2020-01-02 06:24:00,57.6,1.775,0.285,2.53,200.00,4.08
2020-01-02 06:30:00,57.6,1.798,0.230,2.72,180.00,3.30
2020-01-02 06:36:00,57.6,1.896,0.220,3.50,180.00,4.28
2020-01-02 06:42:00,57.7,1.916,0.197,4.28,174.00,4.86
2020-01-02 06:48:00,57.7,1.808,0.236,3.69,167.00,4.67
2020-01-02 06:54:00,57.7,1.824,0.256,3.30,188.00,4.28
2020-01-02 07:00:00,57.7,1.742,0.220,3.30,187.00,3.89
2020-01-02 07:06:00,57.9,1.778,0.217,3.30,183.00,3.69
2020-01-02 07:12:00,57.9,1.791,0.289,2.72,168.00,3.30
2020-01-02 07:18:00,58.1,1.742,0.246,2.92,158.00,3.69
2020-01-02 07:24:00,58.1,1.801,0.249,3.11,166.00,3.69
2020-01-02 07:30:00,57.9,1.699,0.200,3.69,189.00,4.08
2020-01-02 07:36:00,58.3,1.647,0.256,3.11,185.00,3.69
2020-01-02 07:42:00,58.3,1.686,0.259,3.69,189.00,4.47
2020-01-02 07:48:00,58.3,1.690,0.213,3.30,191.00,4.28
2020-01-02 07:54:00,58.5,1.683,0.217,3.50,177.00,3.69
2020-01-02 08:00:00,58.5,1.654,0.190,3.89,175.00,4.08
2020-01-02 08:06:00,58.5,1.601,0.220,4.28,177.00,4.67
2020-01-02 08:12:00,58.6,1.680,0.262,3.89,168.00,4.67
2020-01-02 08:18:00,58.6,1.739,0.282,4.08,162.00,4.86
2020-01-02 08:24:00,58.8,1.798,0.203,4.08,152.00,4.86
2020-01-02 08:30:00,59.0,1.775,0.230,3.69,153.00,4.67
2020-01-02 08:36:00,59.0,1.791,0.289,4.67,155.00,5.05
2020-01-02 08:42:00,59.0,1.795,0.233,4.08,145.00,5.05
2020-01-02 08:48:00,59.2,1.736,0.233,5.83,149.00,6.03
2020-01-02 08:54:00,59.0,1.732,0.269,6.80,130.00,7.39
2020-01-02 09:00:00,59.2,1.742,0.220,6.80,126.00,7.39
2020-01-02 09:06:00,59.2,1.749,0.262,6.41,136.00,7.19
2020-01-02 09:12:00,59.4,1.854,0.315,6.80,145.00,7.39
2020-01-02 09:18:00,59.4,1.745,0.259,7.00,142.00,7.58
2020-01-02 09:24:00,59.4,1.696,0.282,6.80,138.00,7.39
2020-01-02 09:30:00,59.7,1.693,0.259,6.22,147.00,7.19
2020-01-02 09:36:00,59.9,1.647,0.256,5.64,165.00,6.41
2020-01-02 09:42:00,59.9,1.627,0.328,5.25,164.00,6.61
2020-01-02 09:48:00,59.9,1.673,0.246,5.64,160.00,6.22
2020-01-02 09:54:00,60.1,1.739,0.269,6.22,152.00,6.80
2020-01-02 10:00:00,60.3,1.824,0.259,4.67,167.00,6.61
2020-01-02 10:06:00,60.3,1.864,0.289,4.28,182.00,5.05
2020-01-02 10:12:00,60.3,1.772,0.269,7.19,183.00,7.97
2020-01-02 10:18:00,60.3,1.762,0.240,7.00,188.00,7.78
2020-01-02 10:24:00,60.3,1.804,0.253,5.25,174.00,6.80
2020-01-02 10:30:00,60.3,1.798,0.266,6.61,147.00,7.19
2020-01-02 10:36:00,60.4,1.719,0.308,6.80,164.00,7.39
2020-01-02 10:42:00,60.6,1.703,0.266,7.97,166.00,8.75
2020-01-02 10:48:00,60.6,1.739,0.292,8.36,170.00,9.14
2020-01-02 10:54:00,60.6,1.768,0.262,8.94,164.00,9.91
2020-01-02 11:00:00,60.6,1.736,0.302,8.75,167.00,9.91
2020-01-02 11:06:00,60.6,1.821,0.240,8.94,170.00,9.91
2020-01-02 11:12:00,60.6,1.749,0.233,8.94,169.00,10.11
2020-01-02 11:18:00,60.8,1.841,0.259,9.14,177.00,10.30
2020-01-02 11:24:00,60.8,1.808,0.213,9.14,182.00,10.11
2020-01-02 11:30:00,60.8,1.752,0.276,9.72,183.00,10.50
2020-01-02 11:36:00,60.8,1.755,0.295,10.11,187.00,11.08
2020-01-02 11:42:00,60.8,1.726,0.262,9.91,189.00,10.89
2020-01-02 11:48:00,60.6,1.781,0.217,9.14,192.00,10.69
2020-01-02 11:54:00,60.6,1.778,0.279,8.36,193.00,9.91
2020-01-02 12:00:00,60.6,1.722,0.226,8.16,181.00,9.52
2020-01-02 12:06:00,60.6,1.759,0.249,8.16,183.00,9.91
2020-01-02 12:12:00,60.6,1.729,0.223,8.55,182.00,9.33
2020-01-02 12:18:00,60.6,1.759,0.269,8.55,190.00,9.14
2020-01-02 12:24:00,60.6,1.663,0.285,6.61,191.00,8.36
2020-01-02 12:30:00,60.4,1.713,0.207,6.41,191.00,7.97
2020-01-02 12:36:00,60.3,1.729,0.217,6.22,182.00,7.19
2020-01-02 12:42:00,60.4,1.870,0.233,5.83,183.00,7.39
2020-01-02 12:48:00,60.4,1.909,0.246,7.19,181.00,7.58
2020-01-02 12:54:00,60.4,1.759,0.262,9.52,175.00,10.11
2020-01-02 13:00:00,60.6,1.739,0.269,10.69,176.00,11.27
2020-01-02 13:06:00,60.6,1.768,0.236,10.30,174.00,11.66
2020-01-02 13:12:00,60.6,1.732,0.233,10.89,169.00,12.44
2020-01-02 13:18:00,60.6,1.670,0.308,10.50,165.00,12.44
2020-01-02 13:24:00,60.6,1.778,0.256,10.89,166.00,12.63
